Passage,Week of entry,Number of crossings
Dover,2022-08-29,1294
Dover,2022-09-05,1305
Dover,2022-09-19,1353
Dover,2022-09-26,1315
Dover,2022-10-03,1339
Dover,2022-10-10,1341
Dover,2022-10-17,1296
Dover,2022-10-24,1344
Dover,2022-10-31,1232
Dover,2022-11-07,1400
Dover,2022-11-14,1433
Dover,2022-11-21,1215
Dover,2022-11-28,1323
Dover,2022-12-05,1348
Dover,2022-12-12,1245
Dover,2022-12-19,1279
Dover,2022-12-26,1088
Dover,2023-01-02,1263
Dover,2023-01-09,1178
Dover,2023-01-16,1285
Dover,2023-01-23,1402
Dover,2023-01-30,1413
Dover,2023-02-06,1387
Dover,2023-02-13,1376
Dover,2023-02-20,1404
Dover,2023-02-27,1357
Dover,2023-03-06,1240
Dover,2023-03-13,1339
Dover,2023-03-20,1278
Dover,2023-03-27,1306
Dover,2023-04-03,1430
Dover,2023-04-10,1281
Dover,2023-04-17,1446
Dover,2023-04-24,1453
Dover,2023-05-01,1422
Dover,2023-05-08,1348
Dover,2023-05-15,1395
Dover,2023-05-29,1360
Dover,2023-06-05,1470
Dover,2023-06-12,1331
Dover,2023-06-19,1281
Dover,2023-06-26,1271
Dover,2023-07-03,1284
Dover,2023-07-10,1323
Dover,2023-07-17,1258
Dover,2023-07-24,1337
Dover,2023-07-31,1271
Dover,2023-08-07,1279
Dover,2023-08-14,1259
Dover,2023-08-21,1260
Dover,2023-08-28,1316
Dover,2023-09-04,1316
Dover,2023-09-11,1290
Dover,2023-09-18,1273
Dover,2023-09-25,1356
Dover,2023-10-16,1230
Dover,2023-10-23,1298
Dover,2023-11-06,1319
Dover,2023-11-13,1295
Dover,2023-11-20,1314
Dover,2023-11-27,1313
Dover,2023-12-04,1245
Dover,2023-12-11,1399
Dover,2023-12-18,1238
Dover,2023-12-25,1132
Dover,2024-01-01,1236
Dover,2024-01-08,1237
Dover,2024-01-15,1245
Dover,2024-01-22,1271
Dover,2024-01-29,1443
Dover,2024-02-05,1240
Dover,2024-02-12,1291
Dover,2024-02-19,1094
Dover,2024-02-26,1204
Dover,2024-03-04,1276
Dover,2024-03-11,1300
Dover,2024-03-18,1261
Dover,2024-03-25,1075
Dover,2024-04-01,1087
Hormuz,2022-01-03,457
Hormuz,2022-01-10,492
Hormuz,2022-01-17,435
Hormuz,2022-01-24,533
Hormuz,2022-01-31,578
Hormuz,2022-02-07,570
Hormuz,2022-02-14,620
Hormuz,2022-02-21,668
Hormuz,2022-02-28,581
Hormuz,2022-03-07,686
Hormuz,2022-03-14,596
Hormuz,2022-03-21,721
Hormuz,2022-03-28,657
