Passage,Week of entry,Number of crossings
Dover,04/12/2023,1245
Dover,11/12/2023,1399
Dover,18/12/2023,1238
Dover,25/12/2023,1132
Dover,01/01/2024,1236
Dover,08/01/2024,1237
Dover,15/01/2024,1245
Dover,22/01/2024,1271
Dover,29/01/2024,1443
Dover,05/02/2024,1240
Dover,12/02/2024,1291
Dover,19/02/2024,1094
Dover,26/02/2024,1204
Dover,04/03/2024,1276
Dover,11/03/2024,1300
Dover,18/03/2024,1261
Dover,25/03/2024,1075
Dover,01/04/2024,1087
Hormuz,03/01/2022,457
Hormuz,10/01/2022,492
Hormuz,17/01/2022,435
Hormuz,24/01/2022,533
Hormuz,31/01/2022,578
Hormuz,07/02/2022,570
Hormuz,14/02/2022,620
Hormuz,21/02/2022,668
Hormuz,28/02/2022,581
Hormuz,07/03/2022,686
Hormuz,14/03/2022,596
Hormuz,21/03/2022,721
Hormuz,28/03/2022,657
Hormuz,04/04/2022,733
Hormuz,11/04/2022,696
Hormuz,18/04/2022,701
Hormuz,25/04/2022,672
Hormuz,02/05/2022,742
Hormuz,09/05/2022,516
Hormuz,16/05/2022,730
Hormuz,23/05/2022,653
Hormuz,30/05/2022,706
Hormuz,06/06/2022,690
Hormuz,13/06/2022,683
Hormuz,20/06/2022,643
Hormuz,27/06/2022,659
Hormuz,04/07/2022,600
Hormuz,11/07/2022,681
Hormuz,18/07/2022,599
Hormuz,25/07/2022,607
Hormuz,01/08/2022,702
Hormuz,08/08/2022,692
Hormuz,15/08/2022,742
Hormuz,22/08/2022,728
Hormuz,29/08/2022,722
Hormuz,05/09/2022,633
Hormuz,12/09/2022,710
Hormuz,19/09/2022,664
Hormuz,26/09/2022,545
Hormuz,03/10/2022,644
Hormuz,10/10/2022,703
Hormuz,17/10/2022,734
Hormuz,24/10/2022,725
Hormuz,31/10/2022,562
Hormuz,07/11/2022,598
Hormuz,14/11/2022,531
Hormuz,21/11/2022,488
Hormuz,28/11/2022,591
Hormuz,05/12/2022,511
Hormuz,12/12/2022,480
Hormuz,19/12/2022,475
Hormuz,26/12/2022,507
Hormuz,02/01/2023,498
Hormuz,09/01/2023,448
Hormuz,16/01/2023,502
Hormuz,23/01/2023,488
Hormuz,30/01/2023,480
Hormuz,06/02/2023,563
Hormuz,13/02/2023,558
Hormuz,20/02/2023,625
Hormuz,27/02/2023,546
Hormuz,06/03/2023,715
Hormuz,13/03/2023,652
Hormuz,20/03/2023,467
Hormuz,27/03/2023,579
Hormuz,03/04/2023,659
Hormuz,10/04/2023,687
Hormuz,17/04/2023,702
Hormuz,24/04/2023,594
Hormuz,01/05/2023,677
Hormuz,08/05/2023,753
Hormuz,15/05/2023,685
Hormuz,22/05/2023,753
Hormuz,29/05/2023,774
Hormuz,05/06/2023,744
Hormuz,12/06/2023,638
Hormuz,19/06/2023,759
Hormuz,26/06/2023,709
Hormuz,03/07/2023,746
Hormuz,10/07/2023,677
Hormuz,17/07/2023,678
Hormuz,24/07/2023,599
Hormuz,31/07/2023,736
Hormuz,07/08/2023,734
Hormuz,14/08/2023,708
Hormuz,21/08/2023,716
Hormuz,28/08/2023,654
Hormuz,04/09/2023,708
Hormuz,11/09/2023,672
Hormuz,18/09/2023,740
Hormuz,25/09/2023,753
Hormuz,02/10/2023,735
Hormuz,09/10/2023,774
Hormuz,16/10/2023,540
Hormuz,23/10/2023,503
Hormuz,30/10/2023,623
Hormuz,06/11/2023,533
Hormuz,13/11/2023,486
Hormuz,20/11/2023,399
Hormuz,27/11/2023,482
Hormuz,04/12/2023,508
Hormuz,11/12/2023,441
Hormuz,18/12/2023,413
Hormuz,25/12/2023,545
Hormuz,01/01/2024,463
Hormuz,08/01/2024,429
Hormuz,15/01/2024,500
Hormuz,22/01/2024,491
Hormuz,29/01/2024,438
Hormuz,05/02/2024,460
Hormuz,12/02/2024,454
Hormuz,19/02/2024,458
Hormuz,26/02/2024,449
Hormuz,04/03/2024,425
Hormuz,11/03/2024,577
Hormuz,18/03/2024,545
Hormuz,25/03/2024,460
Hormuz,01/04/2024,544
Suez,03/01/2022,381
Suez,10/01/2022,329
Suez,17/01/2022,341
Suez,24/01/2022,352
Suez,31/01/2022,371
Suez,07/02/2022,400
Suez,14/02/2022,331
Suez,21/02/2022,353
Suez,28/02/2022,380
Suez,07/03/2022,355
Suez,14/03/2022,363
Suez,21/03/2022,364
Suez,28/03/2022,374
Suez,04/04/2022,405
Suez,11/04/2022,377
Suez,18/04/2022,422
Suez,25/04/2022,389
Suez,02/05/2022,389
Suez,09/05/2022,297
Suez,16/05/2022,402
Suez,23/05/2022,365
Suez,30/05/2022,403
Suez,06/06/2022,405
Suez,13/06/2022,397
Suez,20/06/2022,397
Suez,27/06/2022,473
Suez,04/07/2022,412
Suez,11/07/2022,433
Suez,18/07/2022,397
Suez,25/07/2022,452
Suez,01/08/2022,445
Suez,08/08/2022,419
Suez,15/08/2022,410
Suez,22/08/2022,427
Suez,29/08/2022,442
Suez,05/09/2022,428
Suez,12/09/2022,428
Suez,19/09/2022,408
Suez,26/09/2022,433
Suez,03/10/2022,405
Suez,10/10/2022,387
Suez,17/10/2022,437
Suez,24/10/2022,420
Suez,31/10/2022,478
Suez,07/11/2022,411
Suez,14/11/2022,387
Suez,21/11/2022,425
Suez,28/11/2022,460
Suez,05/12/2022,463
Suez,12/12/2022,417
Suez,19/12/2022,431
Suez,26/12/2022,429
Suez,02/01/2023,443
Suez,09/01/2023,431
Suez,16/01/2023,426
Suez,23/01/2023,427
Suez,30/01/2023,436
Suez,06/02/2023,410
Suez,13/02/2023,322
Suez,20/02/2023,423
Suez,27/02/2023,396
Suez,06/03/2023,469
Suez,13/03/2023,457
Suez,20/03/2023,432
Suez,27/03/2023,441
Suez,03/04/2023,475
Suez,10/04/2023,463
Suez,17/04/2023,485
Suez,24/04/2023,489
Suez,01/05/2023,481
Suez,08/05/2023,439
Suez,15/05/2023,514
Suez,22/05/2023,469
Suez,29/05/2023,447
Suez,05/06/2023,438
Suez,12/06/2023,438
Suez,19/06/2023,475
Suez,26/06/2023,463
Suez,03/07/2023,400
Suez,10/07/2023,445
Suez,17/07/2023,437
Suez,24/07/2023,410
Suez,31/07/2023,404
Suez,07/08/2023,401
Suez,14/08/2023,444
Suez,21/08/2023,404
Suez,28/08/2023,420
Suez,04/09/2023,423
Suez,11/09/2023,391
Suez,18/09/2023,388
Suez,25/09/2023,453
Suez,02/10/2023,456
Suez,09/10/2023,475
Suez,16/10/2023,447
Suez,23/10/2023,461
Suez,30/10/2023,468
Suez,06/11/2023,467
Suez,13/11/2023,469
Suez,20/11/2023,453
Suez,27/11/2023,451
Suez,04/12/2023,427
Suez,11/12/2023,452
Suez,18/12/2023,407
Suez,25/12/2023,341
Suez,01/01/2024,316
Suez,08/01/2024,280
Suez,15/01/2024,271
Suez,22/01/2024,242
Suez,29/01/2024,221
Suez,05/02/2024,238
Suez,12/02/2024,210
Suez,19/02/2024,233
Suez,26/02/2024,212
Suez,04/03/2024,203
Suez,11/03/2024,169
Suez,18/03/2024,176
Suez,25/03/2024,157
Suez,01/04/2024,160
Taiwan Strait,03/01/2022,952
Taiwan Strait,10/01/2022,909
Taiwan Strait,17/01/2022,955
Taiwan Strait,24/01/2022,983
Taiwan Strait,31/01/2022,946
Taiwan Strait,07/02/2022,1133
Taiwan Strait,14/02/2022,1011
Taiwan Strait,21/02/2022,1012
Taiwan Strait,28/02/2022,1008
Taiwan Strait,07/03/2022,1232
Taiwan Strait,14/03/2022,1088
